"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,,
[Numbers in thousands],,,,,,,
,,,,,,,
Occupation,2020,,,,,,
,"Total
employed",Percent of total employed,,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",Tree level
Radiologic technologists and technicians,254,67.8,85.6,6.5,5.4,11.2,4
Magnetic resonance imaging technologists,57,58.8,74.2,16.3,8.6,6.7,4
Nuclear medicine technologists and medical dosimetrists,35,–,–,–,–,–,4
Emergency medical technicians,141,33.7,82.4,11.9,4.0,11.4,4
Paramedics,78,28.1,93.2,3.9,2.8,8.5,4
Pharmacy technicians,336,77.2,72.8,15.0,7.2,17.6,4
Psychiatric technicians,67,82.2,67.6,24.2,1.4,12.1,4
Surgical technologists,108,71.3,80.9,14.9,2.5,17.3,4
Veterinary technologists and technicians,105,88.1,91.8,3.2,1.2,9.8,4
Dietetic technicians and ophthalmic medical technicians,66,73.5,68.5,27.6,2.1,5.3,4
Licensed practical and licensed vocational nurses,596,90.0,68.0,25.6,2.9,15.3,4
Medical records specialists,183,95.9,76.8,16.1,1.7,13.2,4
"Opticians, dispensing",40,–,–,–,–,–,4
Miscellaneous health technologists and technicians,185,61.7,57.8,24.8,15.3,13.5,4
Other healthcare practitioners and technical occupations,100,62.8,68.9,17.3,10.8,3.5,4
,,,,,,,
Service occupations,"22,853",57.0,72.9,17.0,5.6,25.0,1
Healthcare support occupations,"4,790",85.3,64.1,25.3,6.2,20.2,2
Home health aides,571,90.3,55.3,37.4,5.0,25.4,3
Personal care aides,"1,282",81.5,62.6,22.2,9.4,21.4,3
Nursing assistants,"1,364",89.3,57.0,35.2,4.7,13.7,3
Orderlies and psychiatric aides,55,57.5,51.4,37.2,1.2,8.7,3
Occupational therapy assistants and aides,37,–,–,–,–,–,3
Physical therapist assistants and aides,78,71.7,88.6,6.6,3.7,5.8,3
Massage therapists,151,80.6,73.7,10.5,10.0,11.0,3
Dental assistants,288,93.7,85.8,5.5,4.3,31.7,3
Medical assistants,561,90.2,72.9,17.4,4.0,27.9,3
Medical transcriptionists,46,–,–,–,–,–,3
Pharmacy aides,48,–,–,–,–,–,3
Veterinary assistants and laboratory animal caretakers,60,75.8,80.3,2.6,1.8,26.7,3
Phlebotomists,101,84.8,66.0,27.6,2.8,19.0,3
Other healthcare support workers,147,61.1,65.5,23.6,7.1,23.6,3
Protective service occupations,"3,024",23.6,74.5,19.4,2.5,15.9,2
First-line supervisors of correctional officers,51,27.7,63.6,30.6,2.0,11.1,3
First-line supervisors of police and detectives,100,12.7,89.2,7.5,2.3,14.0,3
First-line supervisors of firefighting and prevention workers,33,–,–,–,–,–,3
First-line supervisors of security workers,68,32.1,70.5,20.9,3.9,11.6,3
"First-line supervisors of protective service workers, all other",7,–,–,–,–,–,3
Firefighters,335,4.4,85.0,8.4,1.2,13.1,3
Fire inspectors,27,–,–,–,–,–,3
Bailiffs,18,–,–,–,–,–,3
Correctional officers and jailers,346,31.7,60.9,32.9,2.7,12.8,3
Detectives and criminal investigators,159,26.4,82.8,13.9,0.7,17.0,3
Fish and game wardens,4,–,–,–,–,–,3
Parking enforcement workers,12,–,–,–,–,–,3
Police officers,758,17.1,85.0,10.9,1.9,14.7,3
Animal control workers,8,–,–,–,–,–,3
Private detectives and investigators,90,45.4,71.6,21.9,3.8,16.2,3
Security guards and gambling surveillance officers,800,25.0,61.0,31.1,3.9,19.6,3
Crossing guards and flaggers,46,–,–,–,–,–,3
Transportation security screeners,42,–,–,–,–,–,3
School bus monitors,17,–,–,–,–,–,3
Other protective service workers,102,47.8,85.7,2.9,2.3,16.6,3
Food preparation and serving related occupations,"6,556",54.4,74.8,13.9,6.4,27.3,2
Chefs and head cooks,383,18.0,65.2,14.7,16.7,24.4,3
First-line supervisors of food preparation and serving workers,466,59.4,76.2,16.4,3.7,22.6,3
Cooks,"1,763",42.1,74.3,16.0,5.4,36.0,3
Food preparation workers,808,58.1,74.5,13.6,6.8,29.2,3
Bartenders,301,48.9,87.3,5.2,2.1,16.7,3
Fast food and counter workers,655,67.0,72.2,16.6,5.0,22.6,3
Waiters and waitresses,"1,388",70.0,75.8,11.3,7.2,22.1,3
"Food servers, nonrestaurant",157,77.1,68.6,18.8,7.7,22.0,3
Dining room and cafeteria attendants and bartender helpers,231,49.7,73.1,15.3,8.2,27.3,3
Dishwashers,184,19.2,77.2,12.7,4.4,37.6,3
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,81.9,81.3,9.4,3.5,21.7,3
"Food preparation and serving related workers, all other",3,–,–,–,–,–,3
Building and grounds cleaning and maintenance occupations,"5,084",40.3,78.2,14.2,3.1,37.9,2
First-line supervisors of housekeeping and janitorial workers,321,42.5,79.6,13.4,3.2,30.9,3
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,6.0,84.9,7.8,3.2,25.1,3
Janitors and building cleaners,"2,043",38.6,74.7,17.0,3.9,33.6,3
Maids and housekeeping cleaners,"1,163",88.3,73.7,17.3,4.1,46.1,3
Pest control workers,112,2.5,85.3,6.2,0.5,30.9,3
Landscaping and groundskeeping workers,"1,066",6.5,85.6,9.0,1.0,44.5,3
Tree trimmers and pruners,109,7.0,88.0,7.7,0.1,21.6,3
Other grounds maintenance workers,17,–,–,–,–,–,3
Personal care and service occupations,"3,399",77.0,72.8,13.2,10.1,16.1,2
Supervisors of personal care and service workers,237,71.7,68.7,10.3,16.2,13.9,3
Animal trainers,72,52.6,88.5,7.5,0.0,12.7,3
Animal caretakers,272,76.5,90.0,4.7,1.7,13.9,3
Gambling services workers,64,50.6,49.2,14.5,25.3,15.5,3
"Ushers, lobby attendants, and ticket takers",22,–,–,–,–,–,3
Other entertainment attendants and related workers,144,37.1,78.8,10.0,6.2,12.6,3
"Embalmers, crematory operators, and funeral attendants",14,–,–,–,–,–,3
"Morticians, undertakers, and funeral arrangers",19,–,–,–,–,–,3
Barbers,102,25.6,64.9,28.2,4.1,31.2,3
"Hairdressers, hairstylists, and cosmetologists",646,90.8,77.5,14.4,5.1,14.6,3
Manicurists and pedicurists,214,79.3,14.2,6.9,76.7,7.3,3
Skincare specialists,72,93.9,72.9,4.7,15.9,22.2,3
Other personal appearance workers,19,–,–,–,–,–,3
"Baggage porters, bellhops, and concierges",60,32.5,61.1,24.6,8.6,33.7,3
Tour and travel guides,47,–,–,–,–,–,3
Childcare workers,928,94.8,76.6,16.1,3.8,21.6,3
Exercise trainers and group fitness instructors,202,67.1,83.0,11.9,2.1,10.1,3
